"FinanceKey","DateKey","OrganizationKey","DepartmentGroupKey","ScenarioKey","AccountKey","Amount","Date"
"1","20050701","3","1","1","60","22080","2005-07-01 00:00:00"
"2","20050701","3","1","2","60","20200","2005-07-01 00:00:00"
"3","20050701","3","1","2","61","2000","2005-07-01 00:00:00"
"4","20050701","3","1","1","61","2208","2005-07-01 00:00:00"
"5","20050701","3","1","1","62","1546","2005-07-01 00:00:00"
"6","20050701","3","1","2","62","1800","2005-07-01 00:00:00"
"7","20050701","3","1","2","65","380","2005-07-01 00:00:00"
"8","20050701","3","1","1","65","378","2005-07-01 00:00:00"
"9","20050701","3","1","1","66","344","2005-07-01 00:00:00"
"10","20050701","3","1","2","66","380","2005-07-01 00:00:00"
"11","20050701","3","1","2","67","200","2005-07-01 00:00:00"
"12","20050701","3","1","1","67","174","2005-07-01 00:00:00"
"13","20050701","3","1","1","68","132","2005-07-01 00:00:00"
"14","20050701","3","1","2","68","100","2005-07-01 00:00:00"
"15","20050701","3","1","1","69","38","2005-07-01 00:00:00"
"16","20050701","3","1","1","71","54","2005-07-01 00:00:00"
"17","20050701","3","1","2","71","70","2005-07-01 00:00:00"
"18","20050701","3","1","2","73","300","2005-07-01 00:00:00"
"19","20050701","3","1","1","73","250","2005-07-01 00:00:00"
"20","20050701","3","1","1","74","114","2005-07-01 00:00:00"
"21","20050701","3","1","2","74","100","2005-07-01 00:00:00"
"22","20050701","3","1","2","76","280","2005-07-01 00:00:00"
"23","20050701","3","1","1","76","297","2005-07-01 00:00:00"
"24","20050701","3","1","1","77","535","2005-07-01 00:00:00"
"25","20050701","3","1","2","77","480","2005-07-01 00:00:00"
"26","20050701","3","1","2","78","200","2005-07-01 00:00:00"
"27","20050701","3","1","1","78","153","2005-07-01 00:00:00"
"28","20050701","3","1","1","80","586","2005-07-01 00:00:00"
"29","20050701","3","1","2","80","550","2005-07-01 00:00:00"
"30","20050701","3","1","2","81","380","2005-07-01 00:00:00"
"31","20050701","3","1","1","81","363","2005-07-01 00:00:00"
"32","20050701","3","1","1","82","35","2005-07-01 00:00:00"
"33","20050701","3","1","2","82","40","2005-07-01 00:00:00"
"34","20050701","3","1","2","83","100","2005-07-01 00:00:00"
"35","20050701","3","1","1","83","123","2005-07-01 00:00:00"
